k_invA,chi
1.705000000000000071e+01,2.091316193912636564e-03
1.710000000000000142e+01,1.726785073352028440e-03
1.715000000000000213e+01,1.892879739141646632e-03
1.719999999999999929e+01,1.679724882592891627e-03
1.725000000000000000e+01,1.192086485335257847e-03
1.730000000000000071e+01,5.936501411814183726e-04
1.735000000000000142e+01,8.564193216151575752e-05
1.740000000000000213e+01,-2.210456909207087297e-04
1.744999999999999929e+01,-1.173530895171988423e-04
1.750000000000000000e+01,-1.272297623696982114e-04
1.755000000000000071e+01,-3.195922584611296676e-04
1.760000000000000142e+01,2.675823896869844909e-04
1.765000000000000213e+01,6.438881482186012504e-04
1.769999999999999929e+01,2.387966786508719582e-04
1.775000000000000000e+01,-2.311781188498048228e-04
1.780000000000000071e+01,-9.602483093487846786e-04
1.785000000000000142e+01,-1.472585942905495432e-03
1.790000000000000213e+01,-1.541565179031732314e-03
1.794999999999999929e+01,-1.516522757803980340e-03
1.800000000000000000e+01,-1.378646672528729186e-03
